[55, 31, 0, 82, 12, 65]
[61, 3, 72, 7, 77, 37]
[85, 23, 97, 89, 23, 7]
[94, 16, 3, 37, 11, 43]
[25, 88, 90, 63, 15, 70]
[38, 45, 49, 65, 51, 23]
[96, 7, 83, 36, 41, 80]
[83, 11, 47, 92, 20, 44]
[23, 66, 40, 23, 20, 47]
[70, 50, 7, 90, 97, 24]
[4, 55, 96, 43, 98, 10]
[18, 3, 15, 85, 5, 82]
[74, 36, 36, 32, 51, 48]
[83, 93, 28, 16, 94, 26]
[57, 54, 43, 13, 42, 86]
[65, 9, 44, 55, 11, 89]
[93, 31, 12, 51, 9, 38]
[2, 70, 56, 19, 85, 48]
[85, 54, 77, 41, 13, 93]
[92, 38, 80, 97, 34, 1]
[94, 8, 22, 85, 37, 48]
[26, 52, 83, 1, 85, 51]
[62, 30, 39, 80, 70, 12]
[66, 6, 13, 9, 72, 82]
[80, 29, 60, 43, 15, 9]
[61, 43, 73, 90, 66, 11]
[47, 37, 52, 53, 11, 64]
[3, 82, 96, 51, 66, 63]
[54, 28, 80, 6, 5, 77]
[87, 87, 59, 28, 8, 71]
[17, 34, 6, 98, 96, 37]
[94, 74, 96, 26, 1, 27]
[74, 93, 75, 21, 22, 33]
[22, 55, 47, 81, 4, 96]
[57, 80, 42, 83, 88, 54]
[98, 52, 7, 4, 45, 22]
[53, 71, 22, 63, 87, 34]
[41, 50, 64, 38, 37, 12]
[78, 5, 72, 81, 83, 4]
[49, 78, 17, 32, 4, 27]
[64, 77, 10, 40, 10, 90]
[53, 12, 43, 46, 27, 56]
[55, 18, 52, 97, 6, 48]
[10, 19, 7, 11, 73, 48]
[53, 64, 94, 84, 36, 94]
[68, 2, 70, 67, 16, 43]
[59, 89, 7, 12, 50, 87]
[49, 98, 20, 59, 77, 4]
[30, 93, 51, 37, 54, 14]
[67, 80, 26, 60, 66, 91]
[83, 24, 72, 34, 75, 51]
[38, 33, 46, 63, 61, 87]
[60, 67, 23, 30, 17, 33]
[90, 34, 31, 63, 36, 54]
[75, 32, 74, 54, 0, 54]
[43, 29, 91, 44, 95, 31]
[65, 31, 35, 12, 51, 13]
[52, 48, 49, 19, 89, 72]
[27, 65, 67, 28, 61, 37]
[39, 11, 44, 75, 51, 55]
[17, 83, 44, 53, 75, 45]
[53, 85, 51, 77, 72, 69]
[38, 28, 22, 53, 91, 2]
[99, 70, 52, 75, 49, 45]
[25, 30, 17, 20, 41, 19]
[46, 74, 70, 85, 73, 5]
[18, 25, 93, 58, 56, 19]
[3, 32, 26, 23, 16, 38]
[95, 70, 96, 68, 73, 18]
[38, 86, 15, 21, 84, 86]
[79, 43, 12, 73, 41, 74]
[78, 75, 90, 28, 51, 59]
[57, 23, 16, 30, 11, 55]
[76, 32, 97, 93, 78, 98]
[36, 82, 34, 75, 56, 63]
[48, 8, 12, 86, 15, 84]
[70, 92, 68, 38, 16, 97]
[56, 26, 2, 65, 20, 31]
[89, 96, 43, 55, 2, 69]
[74, 74, 96, 23, 68, 62]
[4, 79, 70, 79, 85, 13]
[38, 17, 24, 24, 30, 41]
[57, 88, 97, 14, 74, 9]
[40, 10, 10, 46, 47, 80]
[54, 56, 96, 94, 54, 78]
[29, 84, 13, 33, 82, 65]
[83, 44, 13, 89, 25, 42]
[75, 29, 46, 58, 27, 83]
[40, 86, 24, 88, 75, 23]
[27, 28, 35, 49, 96, 4]
[50, 50, 8, 0, 71, 12]
[68, 42, 1, 85, 0, 37]
[74, 60, 7, 96, 44, 46]
[61, 78, 85, 89, 47, 21]
[66, 95, 12, 43, 41, 0]
[60, 39, 70, 23, 99, 45]
[78, 48, 87, 67, 45, 10]
[98, 33, 8, 66, 5, 65]
[60, 25, 89, 63, 11, 69]
[88, 18, 38, 7, 97, 18]
[89, 5, 23, 92, 83, 22]
[61, 31, 54, 21, 97, 28]
[35, 7, 18, 83, 79, 7]
[55, 65, 9, 90, 80, 2]
[93, 46, 96, 51, 92, 63]
[90, 60, 91, 70, 38, 78]
[21, 44, 88, 68, 77, 28]
[76, 34, 47, 72, 41, 91]
[53, 99, 7, 94, 72, 88]
[68, 28, 87, 74, 7, 22]
[85, 98, 67, 77, 30, 2]
[97, 46, 49, 24, 19, 30]
[61, 19, 75, 87, 95, 51]
[82, 90, 76, 31, 98, 28]
[2, 76, 6, 96, 19, 44]
[70, 80, 89, 24, 90, 48]
[65, 52, 39, 54, 29, 36]
[80, 43, 12, 31, 59, 60]
[2, 18, 16, 81, 27, 31]
[60, 52, 56, 17, 88, 82]
[70, 62, 91, 92, 15, 64]
[56, 72, 66, 36, 96, 12]
[87, 21, 11, 16, 3, 82]
[32, 9, 6, 54, 71, 0]
[52, 48, 17, 76, 54, 78]
[89, 39, 73, 79, 61, 70]
[97, 14, 19, 82, 57, 42]
[3, 85, 38, 36, 22, 79]
[62, 76, 18, 56, 54, 47]
[91, 34, 13, 28, 22, 16]
[83, 49, 17, 71, 28, 45]
[64, 52, 27, 30, 44, 82]
[32, 12, 72, 65, 33, 86]
[50, 81, 17, 80, 30, 21]
[41, 64, 2, 35, 11, 68]
[88, 96, 35, 59, 28, 47]
[69, 74, 21, 49, 76, 8]
[87, 14, 38, 97, 89, 17]
